ID,UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
2595,G-738,,2/12/1981 0:00:00,M,I,D-283,rs,1981,Removed,,2/25/1992 0:00:00,4.00,,11.00,,
2596,G-693,,2/12/1981 0:00:00,M,I,F-872,du,1981,DEAD,10/1/1990 0:00:00,,6.91,9.66,,,
2597,E-670,,2/13/1981 0:00:00,F,M,F-950,M,1981,Removed,,1/9/1984 0:00:00,5.91,,2.91,D-594,
2598,G-628,,2/13/1981 0:00:00,F,O,F-921,rg,1981,Removed,,5/1/1984 0:00:00,6.83,,3.25,,
2599,G-694,,2/14/1981 0:00:00,F,I,G-148,rs,1981,Removed,,1/31/1990 0:00:00,4.00,,8.91,,
2600,I-787,,2/15/1981 0:00:00,M,L,B-940,ds,1981,DEAD,2/21/1981 0:00:00,,8.91,0.00,,,
2601,E-652,,2/16/1981 0:00:00,F,F,G-128,nLL,1981,Dead,2/27/2001 0:00:00,,12.91,20.00,,C-409,
2602,G-609,,2/16/1981 0:00:00,M,F,F-863,du,1981,DEAD,1/8/1990 0:00:00,,7.00,8.91,,,
2603,G-659,,2/16/1981 0:00:00,M,L,F-973,rs,1981,Removed,,3/14/1990 0:00:00,5.91,,9.08,,
2604,G-669,,2/16/1981 0:00:00,F,J,F-982,rs,1981,Removed,,2/21/1984 0:00:00,5.83,,3.00,,
2605,G-610,,2/16/1981 0:00:00,M,F,F-998,r,1981,Removed,,1/15/1985 0:00:00,5.75,,3.91,,
2606,G-716,,2/16/1981 0:00:00,F,J,G-154,rs,1981,Removed,,3/7/1984 0:00:00,3.91,,3.08,,
2607,I-781,,2/16/1981 0:00:00,M,L,F-518,dm,1981,DEAD,2/16/1981 0:00:00,,10.91,0.00,,,
2608,G-728,,2/16/1981 0:00:00,F,J,F-466,rs**,1981,Removed,,2/29/1984 0:00:00,11.66,,3.00,,
2609,E-659,,2/17/1981 0:00:00,M,L,G-183,Q,1981,Removed,,3/1/1994 0:00:00,4.00,,13.08,,
2610,G-638,,2/17/1981 0:00:00,F,I,G-142,rs,1981,Removed,,1/27/1992 0:00:00,4.00,,10.91,,
2611,G-699,,2/18/1981 0:00:00,F,L,F-529,du,1981,DEAD,7/9/1993 0:00:00,,11.00,12.41,,,
2612,I-796,,2/18/1981 0:00:00,M,J,G-085,da,1981,DEAD,2/19/1981 0:00:00,,4.83,0.00,,,
2613,I-779,,2/19/1981 0:00:00,M,L,F-489,di**,1981,DEAD,4/19/1981 0:00:00,,11.75,0.16,,,
2614,E-664,,2/21/1981 0:00:00,M,I,F-820,X,1981,Dead,9/17/1996 0:00:00,,7.83,15.58,,,
2615,G-657,,2/21/1981 0:00:00,F,L,F-915,d**,1981,DEAD,5/14/1984 0:00:00,,7.00,3.25,,,
2616,G-712,,2/21/1981 0:00:00,M,J,G-027,rs,1981,Removed,,3/19/1984 0:00:00,5.91,,3.08,,
2617,I-780,,2/22/1981 0:00:00,M,L,F-515,di,1981,DEAD,3/4/1981 0:00:00,,11.00,0.08,,,
2618,G-696,,2/22/1981 0:00:00,F,L,F-859,du,1981,DEAD,11/20/1996 0:00:00,,7.91,15.75,,,
2619,G-711,,2/22/1981 0:00:00,M,J,F-983,rs,1981,Removed,,2/21/1984 0:00:00,5.91,,3.00,,
2620,G-664,,2/24/1981 0:00:00,M,J,K-805,rs,1981,Removed,,2/29/1984 0:00:00,17.91,,3.00,,
2621,I-784,,2/24/1981 0:00:00,F,F,F-743,d,1981,DEAD,3/2/1981 0:00:00,,9.91,0.08,,,
2622,G-697,,2/25/1981 0:00:00,M,L,F-706,du,1981,DEAD,4/6/1989 0:00:00,,10.00,8.16,,,
2623,G-634,,2/26/1981 0:00:00,M,I,G-169,du**,1981,DEAD,3/22/1982 0:00:00,,3.75,1.08,,,
2624,G-692,,2/26/1981 0:00:00,M,M,F-528,rs,1981,Removed,,1/9/1984 0:00:00,11.91,,2.91,,
2625,G-748,,2/26/1981 0:00:00,M,M,K-312,rs**,1981,Removed,,1/9/1984 0:00:00,16.00,,2.91,,
2626,G-713,,2/27/1981 0:00:00,F,J,F-910,rs,1981,Removed,,3/12/1984 0:00:00,6.91,,3.08,,
2627,G-701,,2/27/1981 0:00:00,M,L,F-677,rs,1981,Removed,,2/20/1990 0:00:00,9.91,,9.00,,
2628,G-654,,2/28/1981 0:00:00,M,L,F-705,rs,1981,Removed,,3/30/1992 0:00:00,10.00,,11.08,,
2629,G-731,,3/1/1981 0:00:00,F,F,F-793,du**,1981,DEAD,10/1/1986 0:00:00,,9.08,5.58,,,
2630,G-724,,3/1/1981 0:00:00,M,J,F-951,rs,1981,Removed,,2/22/1984 0:00:00,5.91,,2.91,,
2631,I-797,,3/2/1981 0:00:00,M,O,G-097,dm,1981,DEAD,3/20/1981 0:00:00,,4.91,0.00,,,
2632,G-668,,3/2/1981 0:00:00,M,J,F-933,rs,1981,Removed,,2/21/1984 0:00:00,6.91,,2.91,,
2633,G-707,,3/3/1981 0:00:00,F,J,K-707,rs,1981,Removed,,2/21/1984 0:00:00,17.08,,2.91,,
2634,G-645,,3/3/1981 0:00:00,M,F,C-811,dm**,1981,DEAD,3/19/1984 0:00:00,,6.00,3.00,,,
2635,G-618,,3/3/1981 0:00:00,M,F,J-900,dw**,1981,DEAD,3/12/1985 0:00:00,,15.91,4.00,,,
2636,G-653,,3/4/1981 0:00:00,F,L,F-972,rs,1981,Removed,,2/24/1992 0:00:00,6.08,,10.91,,
2637,G-643,,3/4/1981 0:00:00,M,O,F-798,dm,1981,DEAD,1/22/1982 0:00:00,,9.16,0.83,,,
2638,I-789,,3/4/1981 0:00:00,M,I,F-765,da,1981,DEAD,3/5/1981 0:00:00,,9.00,0.00,,,
2639,I-790,,3/4/1981 0:00:00,M,M,F-804,d,1981,DEAD,2/1/1982 0:00:00,,9.00,0.91,,,
2640,G-637,,3/5/1981 0:00:00,F,I,F-939,d**,1981,DEAD,3/29/1985 0:00:00,,5.91,4.00,,,
2641,G-749,,3/5/1981 0:00:00,F,M,D-282,rs**,1981,Removed,,1/11/1984 0:00:00,4.00,,2.83,,
2642,G-624,,3/11/1981 0:00:00,M,O,F-526,rs,1981,Removed,,4/1/1984 0:00:00,11.16,,3.08,,
2643,I-801,,3/12/1981 0:00:00,M,L,G-184,dm,1981,DEAD,3/16/1981 0:00:00,,3.83,0.00,,,
2644,E-660,,3/14/1981 0:00:00,M,L,G-033,BB,1981,Dead,2/22/1997 0:00:00,,5.00,15.91,,,
2645,G-702,,3/14/1981 0:00:00,M,L,F-963,rs,1981,Removed,,1/25/1994 0:00:00,6.00,,12.83,,
2646,G-617,,3/15/1981 0:00:00,M,F,G-197,du**,1981,DEAD,2/16/1982 0:00:00,,3.91,0.91,,,
2647,E-651,,3/17/1981 0:00:00,F,F,G-176,Y,1981,Removed,,2/8/1995 0:00:00,4.00,,13.91,C-409,
2648,I-795,,3/20/1981 0:00:00,M,I,G-058,d,1981,DEAD,3/20/1981 0:00:00,,4.91,0.00,,,
2649,G-751,,3/20/1981 0:00:00,F,M,D-281,rs,1981,Removed,,1/11/1984 0:00:00,4.00,,2.83,,
2650,I-783,,3/21/1981 0:00:00,F,I,F-726,d,1981,DEAD,3/1/1981 0:00:00,,10.00,0.00,,,
2651,E-671,,3/23/1981 0:00:00,M,M,K-843,M,1981,Removed,,1/9/1984 0:00:00,18.00,,2.83,,
2652,E-673,,3/27/1981 0:00:00,M,I,D-659,R,1981,Dead,8/24/1999 0:00:00,,3.83,18.41,,,D-659
2653,I-791,,3/27/1981 0:00:00,M,M,F-807,d,1981,DEAD,2/1/1982 0:00:00,,9.08,0.91,,,
2654,G-608,,3/30/1981 0:00:00,M,F,D-679,dn**,1981,DEAD,3/25/1986 0:00:00,,3.08,5.00,,,
2655,G-646,,3/30/1981 0:00:00,M,J,G-079,rs,1981,Removed,,2/23/1984 0:00:00,5.00,,2.91,,
2656,G-660,,3/31/1981 0:00:00,M,L,F-970,du**,1981,DEAD,12/9/1987 0:00:00,,6.00,6.75,,,
2657,I-785,,4/7/1981 0:00:00,F,F,F-747,d,1981,DEAD,4/7/1981 0:00:00,,9.91,0.00,,,
2658,G-612,,4/7/1981 0:00:00,M,F,G-046,rs,1981,Removed,,1/15/1985 0:00:00,4.91,,3.75,,
2659,G-662,,4/13/1981 0:00:00,M,F,G-191,rs,1981,Removed,,1/15/1985 0:00:00,4.00,,3.75,,
2660,I-802,,4/15/1981 0:00:00,F,J,G-346,dm,1981,DEAD,4/24/1981 0:00:00,,13.00,0.00,,,
2661,G-689,,4/15/1981 0:00:00,M,M,K-724,rs,1981,Removed,,1/16/1984 0:00:00,17.16,,2.75,,
2662,G-623,,4/15/1981 0:00:00,M,O,F-960,rs,1981,Removed,,4/1/1984 0:00:00,6.08,,3.00,,
2663,G-729,,4/19/1981 0:00:00,M,J,F-852,rs,1981,Removed,,2/29/1984 0:00:00,8.08,,2.83,,
2664,I-798,,4/20/1981 0:00:00,F,J,G-150,d,1981,DEAD,4/19/1981 0:00:00,,4.00,0.00,,,
2665,G-698,,4/23/1981 0:00:00,M,L,F-751,dr,1981,DEAD,6/7/1991 0:00:00,,9.16,10.16,,,
2666,E-666,,4/24/1981 0:00:00,F,II,F-714,R,1981,Dead,11/10/2008 0:00:00,,10.00,27.58,,,
2667,I-782,,4/26/1981 0:00:00,F,M,F-564,d,1981,DEAD,6/1/1981 0:00:00,,11.00,0.16,,,
2668,I-794,,4/26/1981 0:00:00,M,M,C-746,d,1981,DEAD,2/1/1982 0:00:00,,6.16,0.83,,,
2669,G-690,,4/26/1981 0:00:00,M,I,F-873,du,1981,DEAD,3/17/1988 0:00:00,,7.16,6.91,,,
2670,E-675,,4/28/1981 0:00:00,M,M,G-171,M,1981,Removed,,1/18/1984 0:00:00,3.91,,2.75,,
2671,G-632,,4/30/1981 0:00:00,M,J,F-849,dm,1981,DEAD,2/22/1982 0:00:00,,8.08,0.83,,,
2672,E-674,,5/3/1981 0:00:00,F,M,G-062,M,1981,Removed,,1/18/1984 0:00:00,5.00,,2.66,,
2673,G-709,,5/5/1981 0:00:00,M,I,B-410,du,1981,DEAD,3/4/1994 0:00:00,,11.16,12.83,,,
2674,G-734,,5/10/1981 0:00:00,F,I,G-068,rs,1981,Removed,,2/16/1994 0:00:00,5.00,,12.75,,
2675,G-613,,5/10/1981 0:00:00,M,F,K-130,r,1981,Removed,,1/15/1985 0:00:00,15.08,,3.66,,
2676,G-747,,5/11/1981 0:00:00,M,M,G-056,rs,1981,Removed,,1/9/1984 0:00:00,5.00,,2.66,,
2677,E-653,,5/15/1981 0:00:00,M,I,G-992,GG,1981,Removed,,2/21/2002 0:00:00,17.08,,20.75,,
2678,E-678,,5/23/1981 0:00:00,F,M,G-073,M,1981,Removed,,1/9/1984 0:00:00,5.08,,2.66,,
2679,E-679,,6/4/1981 0:00:00,M,II,F-718,V,1981,Dead,10/20/2003 0:00:00,,10.33,22.33,,,
2680,E-677,,6/13/1981 0:00:00,F,F,C-851,F,1981,Dead,1/27/2004 0:00:00,,6.25,22.58,,,C-851
2681,G-746,,7/3/1981 0:00:00,M,O,G-358,rs,1981,Removed,,4/1/1984 0:00:00,13.08,,2.75,,
2682,G-898,,1/1/1982 0:00:00,M,L,G-311,dm**,1982,DEAD,7/16/1984 0:00:00,,3.83,2.50,,,
2683,G-909,,1/2/1982 0:00:00,F,I,G-298,rs,1982,Removed,,2/8/1990 0:00:00,3.83,,8.08,,
2684,G-769,,1/3/1982 0:00:00,F,I,F-975,rs,1982,Removed,,2/14/1990 0:00:00,6.83,,8.08,,
2685,I-814,,1/6/1982 0:00:00,U,I,G-067,d,1982,DEAD,1/6/1982 0:00:00,,5.66,0.00,,,
2686,I-828,,1/8/1982 0:00:00,U,I,K-228,d,1982,DEAD,1/8/1982 0:00:00,,19.83,0.00,,,
2687,E-699,,1/9/1982 0:00:00,F,M,D-162,M,1982,Removed,,1/16/1984 0:00:00,5.75,,2.00,,D-162
2688,G-819,,1/10/1982 0:00:00,F,J,F-925,rs,1982,Removed,,2/29/1984 0:00:00,7.75,,2.08,,
2689,G-827,,1/11/1982 0:00:00,F,J,G-106,rs**,1982,Removed,,3/19/1984 0:00:00,5.83,,2.16,,
2690,G-763,,1/13/1982 0:00:00,F,I,F-817,rs,1982,Removed,,2/20/1990 0:00:00,8.91,,8.08,,
2691,G-839,,1/13/1982 0:00:00,F,J,B-816,rs,1982,Removed,,2/21/1984 0:00:00,10.91,,2.08,,
2692,G-915,,1/13/1982 0:00:00,F,F,F-993,rs,1982,Removed,,2/1/1995 0:00:00,6.75,,13.08,,
2693,I-815,,1/14/1982 0:00:00,M,J,G-107,dm,1982,DEAD,1/1/1982 0:00:00,,5.83,0.00,,,
2694,G-828,,1/14/1982 0:00:00,F,J,F-924,rs,1982,Removed,,3/19/1984 0:00:00,7.91,,2.16,,
2695,G-765,,1/17/1982 0:00:00,F,I,F-461,rs,1982,Removed,,1/19/1994 0:00:00,12.91,,12.00,,
2696,G-761,,1/17/1982 0:00:00,F,I,G-292,rs,1982,Removed,,1/27/1992 0:00:00,3.91,,10.00,,
2697,G-870,,1/17/1982 0:00:00,M,M,D-161,rs,1982,Removed,,1/9/1984 0:00:00,5.75,,2.00,,
2698,I-816,,1/18/1982 0:00:00,F,M,G-113,dm,1982,DEAD,1/1/1983 0:00:00,,5.66,1.00,,,
2699,I-827,,1/19/1982 0:00:00,F,F,K-130,dm,1982,DEAD,4/1/1982 0:00:00,,15.75,0.25,,,
2700,G-924,,1/21/1982 0:00:00,F,I,G-063,dm,1982,DEAD,5/15/1991 0:00:00,,5.83,9.33,,,
2701,G-815,,1/21/1982 0:00:00,M,J,G-349,rs,1982,Removed,,2/22/1984 0:00:00,13.83,,2.08,,
2702,E-687,,1/23/1982 0:00:00,F,I,E-078,nDD,1982,Dead,3/9/1999 0:00:00,,3.75,17.16,,,E-078
2703,I-810,,1/23/1982 0:00:00,F,I,C-810,dm,1982,DEAD,6/29/1982 0:00:00,,6.75,0.41,,,
2704,E-693,,1/25/1982 0:00:00,F,I,F-791,BB,1982,Dead,1/30/2001 0:00:00,,9.66,19.00,,,
2705,G-926,,1/25/1982 0:00:00,M,M,F-858,rs,1982,Removed,,1/11/1984 0:00:00,8.83,,2.00,,
2706,G-861,,1/25/1982 0:00:00,F,M,K-327,rs,1982,Removed,,1/9/1984 0:00:00,15.91,,2.00,,
2707,G-826,,1/25/1982 0:00:00,F,J,B-367,rs,1982,Removed,,2/29/1984 0:00:00,11.91,,2.08,,
2708,E-681,,1/26/1982 0:00:00,M,I,F-790,F,1982,Dead,4/7/2002 0:00:00,,9.83,20.25,,,
2709,G-812,,1/26/1982 0:00:00,M,J,K-864,rs,1982,Removed,,2/21/1984 0:00:00,14.91,,2.08,,
2710,E-686,,1/28/1982 0:00:00,F,II,D-239,BB,1982,Dead,5/15/2003 0:00:00,,5.66,21.33,,,D-239
2711,G-845,,1/28/1982 0:00:00,F,O,G-097,rs**,1982,Removed,,4/1/1984 0:00:00,5.75,,2.25,,
2712,E-707,,1/29/1982 0:00:00,M,L,F-705,Q,1982,Removed,,2/9/1994 0:00:00,10.91,,12.08,,
2713,G-830,,1/29/1982 0:00:00,M,J,G-078,rs,1982,Removed,,2/23/1984 0:00:00,5.83,,2.08,,
2714,G-791,,1/29/1982 0:00:00,M,I,F-716,dn**,1982,DEAD,3/25/1986 0:00:00,,10.83,4.16,,,
2715,G-817,,1/30/1982 0:00:00,F,J,G-124,rs**,1982,Removed,,3/5/1984 0:00:00,13.83,,2.16,,
2716,G-850,,1/30/1982 0:00:00,F,O,F-922,rg,1982,Removed,,5/1/1984 0:00:00,7.75,,2.33,,
2717,E-715,,1/31/1982 0:00:00,M,F,G-986,F,1982,Removed,,1/17/2002 0:00:00,17.83,,20.00,,
2718,E-719,,1/31/1982 0:00:00,M,O,K-094,F,1982,Dead,10/23/2001 0:00:00,,15.75,19.75,,,
2719,E-696,,1/31/1982 0:00:00,F,F,G-047,nII,1982,Dead,1/27/2000 0:00:00,,5.83,18.00,,,
2720,G-800,,1/31/1982 0:00:00,F,J,G-081,rs,1982,Removed,,3/5/1984 0:00:00,5.83,,2.16,,
2721,G-922,,2/1/1982 0:00:00,F,L,F-511,rs,1982,Removed,,2/26/1992 0:00:00,13.08,,10.00,,
2722,G-808,,2/1/1982 0:00:00,M,J,G-086,du**,1982,DEAD,7/5/1983 0:00:00,,5.83,1.41,,,
2723,G-793,,2/1/1982 0:00:00,F,F,F-747,rs,1982,Removed,,1/15/1985 0:00:00,10.75,,2.91,,
2724,G-790,,2/1/1982 0:00:00,M,I,F-815,d**,1982,DEAD,1/18/1985 0:00:00,,9.00,2.91,,,
2725,G-759,,2/2/1982 0:00:00,F,I,D-283,rs,1982,Removed,,1/19/1994 0:00:00,5.00,,11.91,,
2726,G-798,,2/2/1982 0:00:00,F,F,G-023,rs,1982,Removed,,1/15/1985 0:00:00,6.83,,2.91,,
2727,G-820,,2/2/1982 0:00:00,F,J,G-217,rs**,1982,Removed,,3/19/1984 0:00:00,4.00,,2.08,,
2728,G-932,,2/3/1982 0:00:00,F,M,G-187,rs**,1982,Removed,,1/9/1984 0:00:00,4.58,,1.91,,
2729,G-758,,2/3/1982 0:00:00,F,I,F-875,rs,1982,Removed,,1/27/1992 0:00:00,7.91,,9.91,,
2730,G-871,,2/3/1982 0:00:00,M,O,G-205,rg,1982,Removed,,5/1/1984 0:00:00,4.91,,2.25,,
2731,G-851,,2/3/1982 0:00:00,M,F,F-860,dm,1982,DEAD,10/24/1983 0:00:00,,7.91,1.66,,,
2732,I-820,,2/3/1982 0:00:00,F,O,G-192,dm,1982,DEAD,2/23/1982 0:00:00,,4.58,0.00,,,
2733,G-795,,2/3/1982 0:00:00,M,F,G-112,rs,1982,Removed,,1/15/1985 0:00:00,5.75,,2.91,,
2734,E-683,,2/4/1982 0:00:00,F,I,E-119,R,1982,Dead,5/22/2000 0:00:00,,3.75,18.25,,,E-119
2735,I-825,,2/4/1982 0:00:00,F,J,G-425,dm,1982,DEAD,2/16/1982 0:00:00,,16.91,0.00,,,
2736,G-841,,2/4/1982 0:00:00,F,J,F-912,rs,1982,Removed,,3/19/1984 0:00:00,7.91,,2.08,,
2737,G-877,,2/6/1982 0:00:00,F,L,G-181,rs,1982,Removed,,3/10/1992 0:00:00,4.75,,10.08,,
2738,G-918,,2/7/1982 0:00:00,M,F,G-285,rs,1982,Removed,,3/4/1992 0:00:00,3.91,,10.08,,
2739,E-714,,2/8/1982 0:00:00,M,F,F-800,GG,1982,Dead,9/1/1998 0:00:00,,9.91,16.58,,,
2740,E-705,,2/8/1982 0:00:00,M,L,G-312,nT,1982,Removed,,1/27/1992 0:00:00,4.08,,9.91,D-100,
2741,I-817,,2/8/1982 0:00:00,M,J,G-153,dm,1982,DEAD,3/16/1984 0:00:00,,4.75,2.08,,,
2742,G-836,,2/8/1982 0:00:00,M,J,F-842,rs,1982,Removed,,3/12/1984 0:00:00,9.00,,2.08,,
2743,G-910,,2/8/1982 0:00:00,F,J,F-730,rs,1982,Removed,,2/21/1984 0:00:00,10.91,,2.00,,
2744,G-837,,2/8/1982 0:00:00,M,J,F-838,rs,1982,Removed,,3/5/1984 0:00:00,8.91,,2.08,,
2745,G-904,,2/9/1982 0:00:00,F,L,G-302,rs,1982,Removed,,3/3/1992 0:00:00,4.08,,10.08,,
2746,I-822,,2/9/1982 0:00:00,M,F,G-210,dm,1982,DEAD,1/1/1983 0:00:00,,4.00,0.91,,,
2747,G-843,,2/9/1982 0:00:00,F,J,G-242,rs,1982,Removed,,3/19/1984 0:00:00,13.75,,2.08,,
2748,E-685,,2/10/1982 0:00:00,F,I,F-493,R,1982,Dead,9/16/1996 0:00:00,,12.91,14.58,,,
2749,E-684,,2/10/1982 0:00:00,M,I,G-066,L,1982,Removed,,3/23/1992 0:00:00,5.75,,10.08,,
2750,G-811,,2/10/1982 0:00:00,M,J,G-149,rs,1982,Removed,,3/19/1984 0:00:00,4.91,,2.08,,
2751,G-868,,2/10/1982 0:00:00,M,M,G-195,rs,1982,Removed,,1/9/1984 0:00:00,4.75,,1.91,,
2752,G-933,,2/10/1982 0:00:00,F,J,F-910,rs,1982,Removed,,3/19/1984 0:00:00,7.91,,2.08,,
2753,E-688,,2/12/1982 0:00:00,M,I,G-265,X,1982,Dead,2/2/1993 0:00:00,,3.91,11.00,,C-745,
2754,E-692,,2/12/1982 0:00:00,M,I,F-462,BB,1982,Dead,7/12/2001 0:00:00,,12.91,19.41,,,
2755,G-792,,2/12/1982 0:00:00,M,I,D-719,dm,1982,DEAD,9/12/1983 0:00:00,,3.91,1.58,,,
2756,E-706,,2/15/1982 0:00:00,F,L,G-183,L,1982,Removed,,3/10/1992 0:00:00,5.00,,10.08,,
2757,G-846,,2/15/1982 0:00:00,F,O,F-566,rg,1982,Removed,,5/1/1984 0:00:00,11.83,,2.25,,
2758,G-752,,2/15/1982 0:00:00,M,I,F-873,dm,1982,DEAD,1/18/1983 0:00:00,,8.00,0.91,,,
2759,G-838,,2/15/1982 0:00:00,F,J,G-289,rs**,1982,Removed,,2/27/1984 0:00:00,3.83,,2.00,,
2760,G-767,,2/15/1982 0:00:00,F,I,F-978,rs,1982,Removed,,2/27/1990 0:00:00,6.91,,8.00,,
2761,G-853,,2/15/1982 0:00:00,M,F,F-863,rs,1982,Removed,,2/6/1990 0:00:00,8.00,,8.00,,
2762,G-863,,2/15/1982 0:00:00,F,J,F-754,rs**,1982,Removed,,2/21/1984 0:00:00,10.00,,2.00,,
2763,G-822,,2/16/1982 0:00:00,M,J,G-167,rs,1982,Removed,,2/21/1984 0:00:00,4.75,,2.00,,
2764,G-810,,2/16/1982 0:00:00,M,J,G-108,rs,1982,Removed,,2/21/1984 0:00:00,5.83,,2.00,,
2765,G-813,,2/16/1982 0:00:00,M,J,F-850,rs,1982,Removed,,2/21/1984 0:00:00,9.08,,2.00,,
2766,G-831,,2/16/1982 0:00:00,M,J,F-926,rs,1982,Removed,,3/12/1984 0:00:00,7.91,,2.08,,
2767,G-803,,2/16/1982 0:00:00,F,J,G-150,rs**,1982,Removed,,3/7/1984 0:00:00,4.83,,2.08,,
2768,E-716,,2/17/1982 0:00:00,M,I,F-766,S,1982,Removed,,3/30/2004 0:00:00,9.91,,22.08,,
2769,G-809,,2/17/1982 0:00:00,M,J,F-983,rs,1982,Removed,,2/21/1984 0:00:00,6.91,,2.00,,
2770,G-842,,2/17/1982 0:00:00,F,J,G-084,rs,1982,Removed,,2/21/1984 0:00:00,5.91,,2.00,,
2771,E-704,,2/18/1982 0:00:00,M,L,G-036,S,1982,Dead,1/28/1998 0:00:00,,5.91,15.91,,,
2772,G-816,,2/18/1982 0:00:00,F,J,G-027,rs,1982,Removed,,2/27/1984 0:00:00,6.91,,2.00,,
2773,E-710,,2/19/1982 0:00:00,M,L,F-706,R,1982,Dead,7/7/2003 0:00:00,,11.00,21.41,,C-705,
2774,G-878,,2/19/1982 0:00:00,F,L,F-972,du**,1982,DEAD,11/19/1983 0:00:00,,7.00,1.75,,,
2775,G-825,,2/20/1982 0:00:00,M,J,G-161,rs,1982,Removed,,2/29/1984 0:00:00,4.91,,2.00,,
2776,E-682,,2/21/1982 0:00:00,F,II,B-917,S,1982,Dead,6/14/2005 0:00:00,,10.75,23.33,,,B-917
2777,G-873,,2/21/1982 0:00:00,M,J,K-707,rs,1982,Removed,,2/29/1984 0:00:00,18.00,,2.00,,
2778,G-768,,2/21/1982 0:00:00,F,I,F-726,dm,1982,DEAD,12/27/1983 0:00:00,,10.91,1.83,,,
2779,G-864,,2/21/1982 0:00:00,F,F,G-152,rs,1982,Removed,,2/8/1995 0:00:00,4.83,,13.00,,
2780,G-756,,2/21/1982 0:00:00,F,I,F-820,rs,1982,Removed,,2/14/1990 0:00:00,8.83,,8.00,,
2781,G-847,,2/21/1982 0:00:00,F,O,G-024,rg,1982,Removed,,5/1/1984 0:00:00,6.75,,2.25,,
2782,G-856,,2/21/1982 0:00:00,F,O,F-526,rg,1982,Removed,,5/1/1984 0:00:00,12.08,,2.25,,
2783,G-804,,2/21/1982 0:00:00,F,M,F-528,rs,1982,Removed,,1/11/1984 0:00:00,12.91,,1.91,,
2784,E-712,,2/22/1982 0:00:00,F,M,E-033,M,1982,Removed,,1/9/1984 0:00:00,3.66,,1.91,,E-033
2785,E-702,,2/22/1982 0:00:00,M,L,F-488,L,1982,Removed,,3/3/1992 0:00:00,13.00,,10.08,D-100,
2786,E-695,,2/22/1982 0:00:00,F,F,E-011,F,1982,Dead,10/9/1998 0:00:00,,3.75,16.66,,,E-011
2787,G-796,,2/22/1982 0:00:00,M,J,F-982,rs,1982,Removed,,2/21/1984 0:00:00,6.83,,2.00,,
2788,G-913,,2/22/1982 0:00:00,F,F,E-031,du,1982,DEAD,4/1/1995 0:00:00,,3.91,13.16,,,
2789,G-848,,2/22/1982 0:00:00,M,O,G-049,rg,1982,Removed,,5/1/1984 0:00:00,5.75,,2.25,,
2790,G-917,,2/22/1982 0:00:00,F,F,F-994,rs,1982,Removed,,2/8/1995 0:00:00,6.75,,13.00,,
2791,G-872,,2/22/1982 0:00:00,M,I,F-939,du,1982,DEAD,1/10/1989 0:00:00,,6.83,6.91,,,
2792,G-901,,2/22/1982 0:00:00,M,L,F-915,rs,1982,Removed,,2/20/1990 0:00:00,8.00,,8.00,,
2793,G-755,,2/22/1982 0:00:00,F,I,G-269,rs,1982,Removed,,1/30/1990 0:00:00,3.83,,7.91,,
2794,G-814,,2/22/1982 0:00:00,F,J,F-841,rs**,1982,Removed,,3/21/1984 0:00:00,8.83,,2.08,,
2795,G-805,,2/22/1982 0:00:00,F,M,G-193,rs,1982,Removed,,1/18/1984 0:00:00,4.75,,1.91,,
2796,G-900,,2/23/1982 0:00:00,M,L,G-054,du,1982,DEAD,4/5/1989 0:00:00,,5.66,7.16,,,
2797,G-770,,2/23/1982 0:00:00,M,F,G-179,rs**,1982,Removed,,1/15/1985 0:00:00,4.91,,2.91,,
2798,G-844,,2/23/1982 0:00:00,M,J,F-932,rs,1982,Removed,,3/19/1984 0:00:00,7.83,,2.08,,
2799,E-697,,2/24/1982 0:00:00,M,M,K-843,M,1982,Removed,,1/9/1984 0:00:00,18.91,,1.91,,
2800,G-903,,2/24/1982 0:00:00,F,L,B-940,rs,1982,Removed,,3/19/1992 0:00:00,9.91,,10.08,,
2801,G-821,,2/24/1982 0:00:00,M,J,F-690,rs,1982,Removed,,2/22/1984 0:00:00,11.00,,2.00,,
2802,G-852,,2/24/1982 0:00:00,M,F,C-811,rs,1982,Removed,,1/31/1990 0:00:00,6.91,,7.91,,
2803,G-762,,2/24/1982 0:00:00,F,I,G-142,rs,1982,Removed,,1/27/1992 0:00:00,5.00,,9.91,,
2804,I-823,,2/25/1982 0:00:00,M,J,G-274,d,1982,DEAD,5/20/1982 0:00:00,,4.00,0.25,,,
2805,I-805,,2/25/1982 0:00:00,F,F,F-522,d,1982,DEAD,5/20/1982 0:00:00,,11.83,0.25,,,
2806,G-875,,2/25/1982 0:00:00,F,J,G-215,rs,1982,Removed,,3/5/1984 0:00:00,4.00,,2.08,,
2807,E-680,,2/26/1982 0:00:00,F,I,G-143,R,1982,Dead,12/31/1993 0:00:00,,4.83,11.83,,,
2808,I-809,,2/26/1982 0:00:00,M,I,F-976,dm,1982,DEAD,5/10/1982 0:00:00,,6.91,0.25,,,
2809,G-859,,2/27/1982 0:00:00,M,O,F-798,rg,1982,Removed,,5/1/1984 0:00:00,10.08,,2.25,,
