ID,UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
46,K-400,Q1090,1/1/1957 0:00:00,F,U,Q1090,rc***,1957,Removed,,8/3/1971 0:00:00,5.00,,14.58,,
47,J-988,Q1090,2/19/1959 0:00:00,M,U,Q1090,d**,1959,DEAD,10/18/1971 0:00:00,,7.08,12.66,,,
48,H-220,Q1090,5/26/1960 0:00:00,M,E,Q1090,r,1960,Removed,,7/31/1961 0:00:00,8.33,,1.16,,
49,K-084,Q1090,3/4/1961 0:00:00,F,E,Q1090,dm,1961,DEAD,3/3/1971 0:00:00,,9.16,10.00,,,
50,K-562,Q1090,4/6/1962 0:00:00,F,E,Q1090,rc,1962,Removed,,4/26/1971 0:00:00,10.25,,9.00,,
51,K-837,Q1090,3/4/1963 0:00:00,F,E,Q1090,rc,1963,Removed,,5/19/1970 0:00:00,11.16,,7.16,,
52,I-301,Q1090,2/11/1964 0:00:00,U,E,Q1090,d,1964,DEAD,2/11/1964 0:00:00,,12.08,0.00,,,
53,I-316,Q1090,3/29/1965 0:00:00,F,E,Q1090,d,1965,DEAD,3/31/1965 0:00:00,,13.16,0.00,,,
54,I-340,Q1090,2/24/1966 0:00:00,U,E,Q1090,dm,1966,DEAD,3/1/1966 0:00:00,,14.08,0.08,,,
55,K-399,Q1089,1/1/1957 0:00:00,F,U,Q1089,dm,1957,DEAD,2/23/1971 0:00:00,,5.00,14.08,,,
56,G-885,Q1089,4/6/1958 0:00:00,M,U,Q1089,d**,1958,DEAD,9/21/1964 0:00:00,,6.25,6.41,,,
57,J-978,Q1089,4/8/1959 0:00:00,M,U,Q1089,du,1959,DEAD,10/4/1966 0:00:00,,7.25,7.50,,,
58,J-781,Q1089,4/23/1960 0:00:00,F,E,Q1089,r,1960,Removed,,9/13/1961 0:00:00,8.25,,1.41,,
59,K-066,Q1089,4/17/1961 0:00:00,F,E,Q1089,dm,1961,DEAD,5/11/1962 0:00:00,,9.25,1.08,,,
60,K-563,Q1089,4/19/1962 0:00:00,M,E,Q1089,d**,1962,DEAD,12/4/1984 0:00:00,,10.25,22.66,,,
61,K-850,Q1089,5/5/1963 0:00:00,F,E,Q1089,du,1963,DEAD,7/17/1968 0:00:00,,11.33,5.16,,,
62,H-104,Q1089,5/14/1964 0:00:00,M,E,Q1089,dh,1964,DEAD,6/3/1969 0:00:00,,12.33,5.08,,,
63,G-921,Q1089,4/29/1965 0:00:00,M,E,Q1089,rs,1965,Removed,,11/30/1970 0:00:00,13.25,,5.58,,
64,I-339,Q1089,5/18/1966 0:00:00,M,E,Q1089,du,1966,DEAD,7/7/1966 0:00:00,,14.33,0.16,,,
65,F-892,Q1089,4/11/1967 0:00:00,F,E,Q1089,rs,1967,Removed,,1/12/1971 0:00:00,15.25,,3.75,,
66,G-345,Q1089,6/21/1968 0:00:00,M,E,Q1089,rc,1968,Removed,,5/10/1971 0:00:00,16.41,,2.91,,
67,F-625,Q1089,3/6/1970 0:00:00,F,E,Q1089,rb,1970,Removed,,10/28/1971 0:00:00,18.16,,1.58,,
68,G-470,Q1088,1/1/1958 0:00:00,M,U,Q1088,r,1958,Removed,,10/31/1963 0:00:00,3.00,,5.75,,
69,G-883,Q1088,5/22/1959 0:00:00,M,U,Q1088,du**,1959,DEAD,8/8/1971 0:00:00,,4.33,12.25,,,
70,I-255,Q1088,2/25/1961 0:00:00,F,I,Q1088,dm,1961,DEAD,5/31/1961 0:00:00,,6.08,0.25,,,
71,F-380,Q1086,1/1/1955 0:00:00,M,U,Q1086,dm,1955,DEAD,8/15/1967 0:00:00,,3.00,12.58,,,
72,K-393,Q1086,1/1/1957 0:00:00,M,U,Q1086,rc,1957,Removed,,12/2/1968 0:00:00,5.00,,11.91,,
73,G-786,Q1086,3/26/1958 0:00:00,M,U,Q1086,dw**,1958,DEAD,10/27/1976 0:00:00,,6.16,18.58,,,
74,G-896,Q1086,3/13/1959 0:00:00,M,U,Q1086,dm,1959,DEAD,9/15/1964 0:00:00,,7.16,5.50,,,
75,K-475,Q1086,3/11/1960 0:00:00,M,A,Q1086,d**,1960,DEAD,2/4/1963 0:00:00,,8.16,2.91,,,
76,I-254,Q1086,2/24/1961 0:00:00,F,A,Q1086,d,1961,DEAD,3/7/1961 0:00:00,,9.08,0.08,,,
77,K-596,Q1086,3/1/1962 0:00:00,F,A,Q1086,rc**,1962,Removed,,9/2/1971 0:00:00,10.16,,9.50,,
78,K-803,Q1086,3/1/1963 0:00:00,F,A,Q1086,d,1963,DEAD,2/17/1964 0:00:00,,11.16,0.91,,,
79,H-107,Q1086,2/20/1964 0:00:00,F,A,Q1086,rb,1964,Removed,,11/5/1971 0:00:00,12.08,,7.75,,
80,I-510,Q1086,5/7/1965 0:00:00,M,A,Q1086,rs,1965,Removed,,8/21/1972 0:00:00,13.33,,7.25,,
81,K-321,Q1086,4/22/1966 0:00:00,M,A,Q1086,rs,1966,Removed,,11/5/1971 0:00:00,14.25,,5.58,,
82,F-554,Q1086,3/23/1967 0:00:00,M,A,Q1086,du,1967,DEAD,12/10/1969 0:00:00,,15.16,2.75,,,
83,G-119,Q1086,4/12/1968 0:00:00,F,A,Q1086,rs,1968,Removed,,11/5/1971 0:00:00,16.25,,3.58,,
84,K-391,Q1084,1/1/1957 0:00:00,M,U,Q1084,rs**,1957,Removed,,8/28/1972 0:00:00,5.00,,15.58,,
85,G-675,Q1084,3/3/1959 0:00:00,M,U,Q1084,re,1959,Removed,,6/25/1966 0:00:00,7.16,,7.25,,
86,J-765,Q1084,2/17/1960 0:00:00,M,C,Q1084,r,1960,Removed,,8/3/1961 0:00:00,8.08,,1.50,,
87,K-219,Q1084,1/20/1961 0:00:00,F,C,Q1084,rc,1961,Removed,,4/23/1969 0:00:00,9.00,,8.25,,
88,I-266,Q1084,2/24/1962 0:00:00,F,C,Q1084,dm,1962,DEAD,10/8/1962 0:00:00,,10.08,0.66,,,
89,K-797,Q1084,1/22/1963 0:00:00,F,C,Q1084,rc,1963,Removed,,12/2/1968 0:00:00,11.00,,5.91,,
90,K-303,Q1084,2/15/1964 0:00:00,F,C,Q1084,rc,1964,Removed,,4/2/1969 0:00:00,12.08,,5.16,,
91,K-390,Q1083,1/1/1957 0:00:00,M,U,Q1083,dm,1957,DEAD,1/1/1960 0:00:00,,4.00,3.00,,,
92,G-464,Q1083,3/15/1958 0:00:00,M,U,Q1083,rk**,1958,Removed,,9/27/1971 0:00:00,5.16,,13.50,,
93,G-683,Q1083,4/17/1959 0:00:00,F,U,Q1083,dm,1959,DEAD,10/3/1989 0:00:00,,6.25,30.50,,,
94,I-242,Q1083,3/17/1960 0:00:00,M,G,Q1083,d,1960,DEAD,3/17/1960 0:00:00,,7.16,0.00,,,
