UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
G-448,,1980/03/11,F,L,B-940,rs,1980,Removed,,1992/03/24,8.00,,12.00,,
E-426,,1980/03/12,M,L,F-751,nT,1980,Removed,,1992/01/27,8.08,,11.83,,
G-589,,1980/03/12,F,M,G-113,rs,1980,Removed,,1984/01/16,3.83,,3.83,,
G-544,,1980/03/12,F,J,F-466,rs**,1980,Removed,,1984/03/12,10.75,,4.00,,
G-457,,1980/03/13,F,L,F-511,d**,1980,DEAD,1984/04/07,,11.16,4.08,,,
G-555,,1980/03/13,F,J,G-084,rs,1980,Removed,,1984/03/19,4.00,,4.00,,
E-428,,1980/03/14,M,L,F-974,EE,1980,Removed,,2002/01/17,5.08,,21.83,,
G-515,,1980/03/14,F,J,F-982,rs,1980,Removed,,1984/02/21,4.91,,3.91,,
E-619,,1980/03/16,F,F,F-532,nEE,1980,Dead,2000/01/13,,10.00,19.83,,,
E-427,,1980/03/16,M,L,G-033,Q,1980,Removed,,1994/01/19,4.00,,13.83,,
G-604,,1980/03/16,F,M,D-161,rs,1980,Removed,,1984/01/09,3.91,,3.83,,
I-771,,1980/03/16,M,O,G-024,dw?,1980,DEAD,1980/03/24,,4.83,0.00,,,
E-615,,1980/03/17,F,M,G-062,M,1980,Removed,,1984/01/18,3.83,,3.83,,
E-613,,1980/03/17,M,I,F-573,R,1980,Removed,,2002/02/08,10.16,,21.91,,
I-777,,1980/03/17,M,L,K-809,di,1980,DEAD,1980/04/02,,17.08,0.08,,,
G-524,,1980/03/17,M,M,K-692,rs,1980,Removed,,1984/01/18,20.00,,3.83,,
G-596,,1980/03/17,F,I,F-815,rs,1980,Removed,,1994/02/17,7.08,,13.91,,
G-485,,1980/03/18,M,J,K-864,rs**,1980,Removed,,1984/03/19,13.08,,4.00,,
G-489,,1980/03/18,F,J,G-108,rs**,1980,Removed,,1984/03/21,3.91,,4.00,,
E-617,,1980/03/19,M,L,G-031,Q,1980,Dead,1992/11/29,,4.00,12.66,,,
I-768,,1980/03/19,M,O,F-989,dw?,1980,DEAD,1980/03/24,,4.83,0.00,,,
I-767,,1980/03/19,M,O,F-986,dw?,1980,DEAD,1980/03/24,,5.00,0.00,,,
G-597,,1980/03/19,M,I,F-714,dm**,1980,DEAD,1984/03/29,,8.91,4.00,,,
G-512,,1980/03/23,F,M,F-804,rs,1980,Removed,,1984/01/09,8.00,,3.83,,
G-551,,1980/03/23,F,J,G-027,du**,1980,DEAD,1981/03/25,,5.00,1.00,,,
G-540,,1980/03/27,M,F,J-900,rs,1980,Removed,,1994/02/17,14.91,,13.91,,
G-605,,1980/03/30,M,J,G-349,rs,1980,Removed,,1984/02/27,12.00,,3.91,,
G-592,,1980/04/03,M,I,G-063,rs,1980,Removed,,1992/02/03,4.08,,11.83,,
G-452,,1980/04/06,M,L,F-970,dn**,1980,DEAD,1986/03/19,,5.08,5.91,,,
G-450,,1980/04/07,M,L,F-529,dm,1980,DEAD,1984/09/10,,10.16,4.41,,,
G-509,,1980/04/07,M,M,C-267,rs,1980,Removed,,1984/01/16,8.00,,3.75,,
G-454,,1980/04/07,M,L,F-489,rs**,1980,Removed,,1984/02/29,10.91,,3.83,,
I-766,,1980/04/08,F,L,F-963,dm,1980,DEAD,1980/11/01,,5.08,0.58,,,
G-507,,1980/04/08,M,M,G-056,rs,1980,Removed,,1984/02/27,3.91,,3.83,,
G-518,,1980/04/09,F,O,F-960,rg,1980,Removed,,1984/05/01,5.08,,4.08,,
G-562,,1980/04/10,F,O,G-358,rg,1980,Removed,,1984/05/01,11.83,,4.08,,
G-528,,1980/04/11,M,I,G-068,dw**,1980,DEAD,1987/08/24,,3.91,7.33,,,
E-622,,1980/04/14,F,I,B-410,CC,1980,Dead,1996/12/16,,10.08,16.66,,,B-410
G-600,,1980/04/14,F,I,G-683,d**,1980,DEAD,1984/03/29,,21.00,3.91,,,
G-587,,1980/04/20,F,J,G-078,rs**,1980,Removed,,1984/02/22,4.08,,3.83,,
G-533,,1980/04/24,M,F,F-793,du**,1980,DEAD,1987/07/18,,8.16,7.25,,,
G-590,,1980/04/27,F,M,C-746,rs,1980,Removed,,1984/01/09,5.16,,3.75,,
G-554,,1980/04/27,M,J,F-849,rs,1980,Removed,,1984/02/22,7.08,,3.83,,
G-532,,1980/04/27,F,I,F-765,rs,1980,Removed,,1992/02/03,8.08,,11.83,,
G-531,,1980/04/27,F,I,F-726,du**,1980,DEAD,1987/12/14,,9.08,7.66,,,
G-523,,1980/05/03,M,M,F-564,rs,1980,Removed,,1984/03/19,10.08,,3.83,,
G-585,,1980/05/07,M,J,G-106,rs**,1980,Removed,,1984/03/05,4.16,,3.83,,
E-647,,1980/05/12,F,II,G-992,R,1980,Dead,2003/11/21,,16.08,23.50,,,
G-588,,1980/05/26,M,O,K-094,rs,1980,Removed,,1984/04/01,14.08,,3.91,,
G-606,,1980/09/01,F,J,F-925,rs,1981,Removed,,1984/03/12,6.41,,3.50,,
G-727,,1980/12/29,M,J,F-689,rs,1981,Removed,,1984/03/12,9.83,,3.25,,
G-704,,1980/12/29,F,F,F-684,rs,1981,Removed,,1985/01/15,9.75,,4.08,,
G-721,,1980/12/29,M,J,B-816,rs,1981,Removed,,1984/02/21,9.83,,3.16,,
G-635,,1980/12/31,M,I,C-810,rs,1981,Removed,,1995/02/16,5.66,,14.16,,
E-650,,1981/01/01,F,F,C-370,F,1981,Dead,1999/02/16,,7.00,18.08,,,C-370
G-720,,1981/01/01,M,L,K-673,du**,1981,DEAD,1987/05/28,,14.91,6.33,,,
G-723,,1981/01/01,F,J,F-842,rs**,1981,Removed,,1984/03/12,7.91,,3.16,,
G-648,,1981/01/01,M,J,F-762,rs,1981,Removed,,1984/02/21,8.83,,3.08,,
E-672,,1981/01/05,M,I,F-978,F,1981,Dead,1999/05/18,,5.83,18.33,,,
G-630,,1981/01/07,M,J,F-987,rs,1981,Removed,,1984/02/23,5.75,,3.08,,
G-705,,1981/01/08,F,F,G-023,rs**,1981,Removed,,1985/01/15,5.75,,4.00,,
G-621,,1981/01/10,F,F,F-993,rs,1981,Removed,,1995/02/01,5.75,,14.08,,
G-629,,1981/01/11,F,J,B-365,rs,1981,Removed,,1984/02/22,10.83,,3.08,,
E-668,,1981/01/13,M,I,G-143,F,1981,Dead,1997/12/29,,3.75,16.91,,,
G-619,,1981/01/13,F,F,F-681,du,1981,DEAD,1993/04/06,,9.91,12.25,,,
G-672,,1981/01/13,F,I,K-706,rs,1981,Removed,,1990/02/06,16.66,,9.08,,
G-622,,1981/01/14,M,F,F-860,du,1981,DEAD,1990/09/20,,6.83,9.66,,,
I-792,,1981/01/15,F,I,F-845,du,1981,DEAD,1981/01/15,,7.91,0.00,,,
G-666,,1981/01/20,F,J,G-149,rs**,1981,Removed,,1984/02/23,3.83,,3.08,,
G-644,,1981/01/20,M,J,B-367,rs,1981,Removed,,1984/02/29,10.91,,3.08,,
I-803,,1981/01/21,M,J,G-425,dm,1981,DEAD,1981/01/22,,15.83,0.00,,,
E-657,,1981/01/22,M,I,F-913,F,1981,Dead,2001/08/12,,6.83,20.58,,,
G-667,,1981/01/22,F,J,F-730,rs,1981,Removed,,1984/02/21,9.83,,3.08,,
G-642,,1981/01/22,M,O,F-833,rg,1981,Removed,,1984/05/01,7.75,,3.33,,
G-718,,1981/01/22,F,J,F-912,dm,1981,DEAD,1982/01/25,,6.83,1.00,,,
E-654,,1981/01/23,M,I,B-917,R,1981,Dead,2000/06/27,,9.66,19.41,,,B-917
G-636,,1981/01/24,M,I,F-791,rs,1981,Removed,,1992/03/18,8.66,,11.16,,
G-625,,1981/01/24,F,O,F-989,rg,1981,Removed,,1984/05/01,5.66,,3.33,,
E-667,,1981/01/25,M,I,G-066,R,1981,Dead,1996/03/26,,4.66,15.16,,,
E-663,,1981/01/25,M,M,F-858,M,1981,Removed,,1984/01/16,7.83,,3.00,,
G-671,,1981/01/25,F,O,F-986,rg,1981,Removed,,1984/05/01,5.83,,3.33,,
E-662,,1981/01/26,F,F,G-986,F,1981,Removed,,2001/08/16,16.83,,20.58,,
G-700,,1981/01/26,M,L,F-678,du**,1981,DEAD,1983/07/19,,9.83,2.50,,,
G-736,,1981/01/26,M,I,F-461,dw,1981,DEAD,1989/09/21,,11.91,8.66,,,
G-650,,1981/01/26,F,J,F-838,rs,1981,Removed,,1984/02/21,7.83,,3.08,,
G-616,,1981/01/26,M,F,F-800,rs,1981,Removed,,1992/03/25,8.83,,11.16,,
G-627,,1981/01/26,M,O,F-797,rs,1981,Removed,,1984/04/01,8.75,,3.25,,
I-800,,1981/01/28,F,F,G-179,d,1981,DEAD,1981/12/01,,3.83,0.91,,,
G-663,,1981/01/28,M,F,G-987,dm,1981,DEAD,1982/01/20,,16.83,1.00,,,
E-655,,1981/01/29,M,I,F-766,L,1981,Removed,,1992/03/17,8.83,,11.16,,
G-649,,1981/01/29,M,J,F-840,rs,1981,Removed,,1984/02/29,7.75,,3.08,,
G-640,,1981/01/29,F,I,F-875,rs,1981,Removed,,1992/02/03,6.83,,11.08,,
E-669,,1981/02/01,F,L,G-181,L,1981,Removed,,1992/03/09,3.75,,11.08,C-705,
G-655,,1981/02/01,M,L,G-036,d**,1981,DEAD,1984/11/02,,4.91,3.75,,,
G-743,,1981/02/01,F,M,C-767,rs,1981,Removed,,1984/01/09,5.91,,2.91,,
G-708,,1981/02/01,F,J,G-086,rs,1981,Removed,,1984/02/22,4.83,,3.00,,
G-670,,1981/02/02,M,O,G-049,du**,1981,DEAD,1982/02/08,,4.75,1.00,,,
G-706,,1981/02/03,M,J,G-161,rs,1981,Removed,,1984/03/12,3.91,,3.08,,
G-737,,1981/02/03,F,J,G-167,rs,1981,Removed,,1984/03/12,3.75,,3.08,,
G-744,,1981/02/03,M,M,K-327,rs**,1981,Removed,,1984/01/16,15.00,,2.91,,
G-661,,1981/02/03,M,F,G-045,dm,1981,DEAD,1985/12/23,,4.83,4.83,,,
E-658,,1981/02/04,F,II,D-239,BB,1981,Dead,2002/10/18,,4.75,21.66,,,D-239
E-665,,1981/02/04,M,I,F-976,GG,1981,Dead,1999/08/17,,5.91,18.50,,,
G-732,,1981/02/04,F,L,F-745,du**,1981,DEAD,1983/03/28,,10.00,2.08,,,
G-651,,1981/02/04,M,J,K-888,rs**,1981,Removed,,1984/03/05,13.91,,3.08,,
G-719,,1981/02/04,F,O,F-922,rg,1981,Removed,,1984/05/01,6.83,,3.25,,
G-739,,1981/02/05,M,J,F-850,rs,1981,Removed,,1984/02/21,8.08,,3.00,,
G-607,,1981/02/05,M,F,F-994,dm,1981,DEAD,1983/10/05,,5.75,2.66,,,
G-614,,1981/02/05,M,F,F-522,du,1981,DEAD,1989/04/26,,10.83,8.16,,,
G-740,,1981/02/06,M,I,F-493,df**,1981,DEAD,1987/08/16,,11.91,6.50,,,
G-710,,1981/02/07,M,I,F-790,dn**,1981,DEAD,1986/04/14,,8.91,5.16,,,
G-691,,1981/02/07,F,I,F-462,rs,1981,Removed,,1990/02/12,11.91,,9.00,,
G-633,,1981/02/07,M,J,G-081,rs**,1981,Removed,,1984/03/19,4.91,,3.08,,
G-730,,1981/02/07,F,J,F-926,rs,1981,Removed,,1984/03/19,6.91,,3.08,,
G-741,,1981/02/07,F,I,F-815,rs,1981,Removed,,1994/01/25,8.00,,12.91,,
I-788,,1981/02/07,F,J,F-754,dm,1981,DEAD,1981/12/30,,9.00,0.83,,,
E-661,,1981/02/08,M,L,F-488,nT,1981,Removed,,1992/01/27,12.00,,10.91,,
E-676,,1981/02/08,M,L,G-182,F,1981,Dead,1994/06/06,,3.91,13.33,,D-100,G-182
E-656,,1981/02/08,M,I,G-188,L,1981,Removed,,1992/03/16,3.91,,11.08,,
G-717,,1981/02/08,M,J,G-242,rs,1981,Removed,,1984/03/07,12.75,,3.08,,
G-725,,1981/02/08,M,J,F-841,rs,1981,Removed,,1984/03/07,7.83,,3.08,,
G-726,,1981/02/08,F,J,F-626,rs,1981,Removed,,1984/02/21,11.08,,3.00,,
G-626,,1981/02/09,M,O,F-566,du**,1981,DEAD,1982/02/10,,10.83,1.00,,,
G-641,,1981/02/09,F,O,G-024,rg,1981,Removed,,1984/05/01,5.75,,3.25,,
G-715,,1981/02/09,F,J,G-124,rs,1981,Removed,,1984/03/05,12.91,,3.08,,
G-658,,1981/02/09,M,L,G-054,dn**,1981,DEAD,1986/03/27,,4.66,5.08,,,
G-652,,1981/02/10,F,J,F-932,rs,1981,Removed,,1984/03/19,6.83,,3.08,,
G-615,,1981/02/10,F,F,F-954,rs,1981,Removed,,1985/01/15,5.83,,3.91,,
G-735,,1981/02/10,F,I,F-573,rs,1981,Removed,,1990/01/31,11.08,,8.91,,
G-688,,1981/02/10,M,M,F-808,rs**,1981,Removed,,1984/01/09,8.83,,2.91,,
I-786,,1981/02/11,F,L,F-752,di,1981,DEAD,1981/02/24,,8.91,0.00,,,
I-799,,1981/02/11,F,F,G-152,dm,1981,DEAD,1981/02/27,,3.83,0.00,,,
I-793,,1981/02/12,M,J,F-924,dm,1981,DEAD,1981/06/22,,7.00,0.33,,,
G-738,,1981/02/12,M,I,D-283,rs,1981,Removed,,1992/02/25,4.00,,11.00,,
G-693,,1981/02/12,M,I,F-872,du,1981,DEAD,1990/10/01,,6.91,9.66,,,
E-670,,1981/02/13,F,M,F-950,M,1981,Removed,,1984/01/09,5.91,,2.91,D-594,
G-628,,1981/02/13,F,O,F-921,rg,1981,Removed,,1984/05/01,6.83,,3.25,,
G-694,,1981/02/14,F,I,G-148,rs,1981,Removed,,1990/01/31,4.00,,8.91,,
I-787,,1981/02/15,M,L,B-940,ds,1981,DEAD,1981/02/21,,8.91,0.00,,,
E-652,,1981/02/16,F,F,G-128,nLL,1981,Dead,2001/02/27,,12.91,20.00,,C-409,
G-609,,1981/02/16,M,F,F-863,du,1981,DEAD,1990/01/08,,7.00,8.91,,,
G-659,,1981/02/16,M,L,F-973,rs,1981,Removed,,1990/03/14,5.91,,9.08,,
G-669,,1981/02/16,F,J,F-982,rs,1981,Removed,,1984/02/21,5.83,,3.00,,
G-610,,1981/02/16,M,F,F-998,r,1981,Removed,,1985/01/15,5.75,,3.91,,
G-716,,1981/02/16,F,J,G-154,rs,1981,Removed,,1984/03/07,3.91,,3.08,,
I-781,,1981/02/16,M,L,F-518,dm,1981,DEAD,1981/02/16,,10.91,0.00,,,
G-728,,1981/02/16,F,J,F-466,rs**,1981,Removed,,1984/02/29,11.66,,3.00,,
E-659,,1981/02/17,M,L,G-183,Q,1981,Removed,,1994/03/01,4.00,,13.08,,
G-638,,1981/02/17,F,I,G-142,rs,1981,Removed,,1992/01/27,4.00,,10.91,,
G-699,,1981/02/18,F,L,F-529,du,1981,DEAD,1993/07/09,,11.00,12.41,,,
I-796,,1981/02/18,M,J,G-085,da,1981,DEAD,1981/02/19,,4.83,0.00,,,
I-779,,1981/02/19,M,L,F-489,di**,1981,DEAD,1981/04/19,,11.75,0.16,,,
E-664,,1981/02/21,M,I,F-820,X,1981,Dead,1996/09/17,,7.83,15.58,,,
G-657,,1981/02/21,F,L,F-915,d**,1981,DEAD,1984/05/14,,7.00,3.25,,,
G-712,,1981/02/21,M,J,G-027,rs,1981,Removed,,1984/03/19,5.91,,3.08,,
I-780,,1981/02/22,M,L,F-515,di,1981,DEAD,1981/03/04,,11.00,0.08,,,
G-696,,1981/02/22,F,L,F-859,du,1981,DEAD,1996/11/20,,7.91,15.75,,,
G-711,,1981/02/22,M,J,F-983,rs,1981,Removed,,1984/02/21,5.91,,3.00,,
G-664,,1981/02/24,M,J,K-805,rs,1981,Removed,,1984/02/29,17.91,,3.00,,
I-784,,1981/02/24,F,F,F-743,d,1981,DEAD,1981/03/02,,9.91,0.08,,,
G-697,,1981/02/25,M,L,F-706,du,1981,DEAD,1989/04/06,,10.00,8.16,,,
G-634,,1981/02/26,M,I,G-169,du**,1981,DEAD,1982/03/22,,3.75,1.08,,,
G-692,,1981/02/26,M,M,F-528,rs,1981,Removed,,1984/01/09,11.91,,2.91,,
G-748,,1981/02/26,M,M,K-312,rs**,1981,Removed,,1984/01/09,16.00,,2.91,,
G-713,,1981/02/27,F,J,F-910,rs,1981,Removed,,1984/03/12,6.91,,3.08,,
G-701,,1981/02/27,M,L,F-677,rs,1981,Removed,,1990/02/20,9.91,,9.00,,
G-654,,1981/02/28,M,L,F-705,rs,1981,Removed,,1992/03/30,10.00,,11.08,,
G-731,,1981/03/01,F,F,F-793,du**,1981,DEAD,1986/10/01,,9.08,5.58,,,
G-724,,1981/03/01,M,J,F-951,rs,1981,Removed,,1984/02/22,5.91,,2.91,,
I-797,,1981/03/02,M,O,G-097,dm,1981,DEAD,1981/03/20,,4.91,0.00,,,
G-668,,1981/03/02,M,J,F-933,rs,1981,Removed,,1984/02/21,6.91,,2.91,,
G-707,,1981/03/03,F,J,K-707,rs,1981,Removed,,1984/02/21,17.08,,2.91,,
G-645,,1981/03/03,M,F,C-811,dm**,1981,DEAD,1984/03/19,,6.00,3.00,,,
G-618,,1981/03/03,M,F,J-900,dw**,1981,DEAD,1985/03/12,,15.91,4.00,,,
G-653,,1981/03/04,F,L,F-972,rs,1981,Removed,,1992/02/24,6.08,,10.91,,
G-643,,1981/03/04,M,O,F-798,dm,1981,DEAD,1982/01/22,,9.16,0.83,,,
I-789,,1981/03/04,M,I,F-765,da,1981,DEAD,1981/03/05,,9.00,0.00,,,
I-790,,1981/03/04,M,M,F-804,d,1981,DEAD,1982/02/01,,9.00,0.91,,,
G-637,,1981/03/05,F,I,F-939,d**,1981,DEAD,1985/03/29,,5.91,4.00,,,
G-749,,1981/03/05,F,M,D-282,rs**,1981,Removed,,1984/01/11,4.00,,2.83,,
G-624,,1981/03/11,M,O,F-526,rs,1981,Removed,,1984/04/01,11.16,,3.08,,
I-801,,1981/03/12,M,L,G-184,dm,1981,DEAD,1981/03/16,,3.83,0.00,,,
E-660,,1981/03/14,M,L,G-033,BB,1981,Dead,1997/02/22,,5.00,15.91,,,
G-702,,1981/03/14,M,L,F-963,rs,1981,Removed,,1994/01/25,6.00,,12.83,,
G-617,,1981/03/15,M,F,G-197,du**,1981,DEAD,1982/02/16,,3.91,0.91,,,
E-651,,1981/03/17,F,F,G-176,Y,1981,Removed,,1995/02/08,4.00,,13.91,C-409,
I-795,,1981/03/20,M,I,G-058,d,1981,DEAD,1981/03/20,,4.91,0.00,,,
G-751,,1981/03/20,F,M,D-281,rs,1981,Removed,,1984/01/11,4.00,,2.83,,
I-783,,1981/03/21,F,I,F-726,d,1981,DEAD,1981/03/01,,10.00,0.00,,,
E-671,,1981/03/23,M,M,K-843,M,1981,Removed,,1984/01/09,18.00,,2.83,,
E-673,,1981/03/27,M,I,D-659,R,1981,Dead,1999/08/24,,3.83,18.41,,,D-659
I-791,,1981/03/27,M,M,F-807,d,1981,DEAD,1982/02/01,,9.08,0.91,,,
G-608,,1981/03/30,M,F,D-679,dn**,1981,DEAD,1986/03/25,,3.08,5.00,,,
G-646,,1981/03/30,M,J,G-079,rs,1981,Removed,,1984/02/23,5.00,,2.91,,
G-660,,1981/03/31,M,L,F-970,du**,1981,DEAD,1987/12/09,,6.00,6.75,,,
I-785,,1981/04/07,F,F,F-747,d,1981,DEAD,1981/04/07,,9.91,0.00,,,
G-612,,1981/04/07,M,F,G-046,rs,1981,Removed,,1985/01/15,4.91,,3.75,,
G-662,,1981/04/13,M,F,G-191,rs,1981,Removed,,1985/01/15,4.00,,3.75,,
I-802,,1981/04/15,F,J,G-346,dm,1981,DEAD,1981/04/24,,13.00,0.00,,,
G-689,,1981/04/15,M,M,K-724,rs,1981,Removed,,1984/01/16,17.16,,2.75,,
G-623,,1981/04/15,M,O,F-960,rs,1981,Removed,,1984/04/01,6.08,,3.00,,
G-729,,1981/04/19,M,J,F-852,rs,1981,Removed,,1984/02/29,8.08,,2.83,,
I-798,,1981/04/20,F,J,G-150,d,1981,DEAD,1981/04/19,,4.00,0.00,,,
G-698,,1981/04/23,M,L,F-751,dr,1981,DEAD,1991/06/07,,9.16,10.16,,,
E-666,,1981/04/24,F,II,F-714,R,1981,Dead,2008/11/10,,10.00,27.58,,,
I-782,,1981/04/26,F,M,F-564,d,1981,DEAD,1981/06/01,,11.00,0.16,,,
I-794,,1981/04/26,M,M,C-746,d,1981,DEAD,1982/02/01,,6.16,0.83,,,
G-690,,1981/04/26,M,I,F-873,du,1981,DEAD,1988/03/17,,7.16,6.91,,,
E-675,,1981/04/28,M,M,G-171,M,1981,Removed,,1984/01/18,3.91,,2.75,,
G-632,,1981/04/30,M,J,F-849,dm,1981,DEAD,1982/02/22,,8.08,0.83,,,
E-674,,1981/05/03,F,M,G-062,M,1981,Removed,,1984/01/18,5.00,,2.66,,
G-709,,1981/05/05,M,I,B-410,du,1981,DEAD,1994/03/04,,11.16,12.83,,,
G-734,,1981/05/10,F,I,G-068,rs,1981,Removed,,1994/02/16,5.00,,12.75,,
G-613,,1981/05/10,M,F,K-130,r,1981,Removed,,1985/01/15,15.08,,3.66,,
G-747,,1981/05/11,M,M,G-056,rs,1981,Removed,,1984/01/09,5.00,,2.66,,
E-653,,1981/05/15,M,I,G-992,GG,1981,Removed,,2002/02/21,17.08,,20.75,,
E-678,,1981/05/23,F,M,G-073,M,1981,Removed,,1984/01/09,5.08,,2.66,,
E-679,,1981/06/04,M,II,F-718,V,1981,Dead,2003/10/20,,10.33,22.33,,,
E-677,,1981/06/13,F,F,C-851,F,1981,Dead,2004/01/27,,6.25,22.58,,,C-851
G-746,,1981/07/03,M,O,G-358,rs,1981,Removed,,1984/04/01,13.08,,2.75,,
G-898,,1982/01/01,M,L,G-311,dm**,1982,DEAD,1984/07/16,,3.83,2.50,,,
G-909,,1982/01/02,F,I,G-298,rs,1982,Removed,,1990/02/08,3.83,,8.08,,
G-769,,1982/01/03,F,I,F-975,rs,1982,Removed,,1990/02/14,6.83,,8.08,,
I-814,,1982/01/06,U,I,G-067,d,1982,DEAD,1982/01/06,,5.66,0.00,,,
I-828,,1982/01/08,U,I,K-228,d,1982,DEAD,1982/01/08,,19.83,0.00,,,
E-699,,1982/01/09,F,M,D-162,M,1982,Removed,,1984/01/16,5.75,,2.00,,D-162
G-819,,1982/01/10,F,J,F-925,rs,1982,Removed,,1984/02/29,7.75,,2.08,,
G-827,,1982/01/11,F,J,G-106,rs**,1982,Removed,,1984/03/19,5.83,,2.16,,
G-763,,1982/01/13,F,I,F-817,rs,1982,Removed,,1990/02/20,8.91,,8.08,,
G-839,,1982/01/13,F,J,B-816,rs,1982,Removed,,1984/02/21,10.91,,2.08,,
G-915,,1982/01/13,F,F,F-993,rs,1982,Removed,,1995/02/01,6.75,,13.08,,
I-815,,1982/01/14,M,J,G-107,dm,1982,DEAD,1982/01/01,,5.83,0.00,,,
G-828,,1982/01/14,F,J,F-924,rs,1982,Removed,,1984/03/19,7.91,,2.16,,
G-765,,1982/01/17,F,I,F-461,rs,1982,Removed,,1994/01/19,12.91,,12.00,,
G-761,,1982/01/17,F,I,G-292,rs,1982,Removed,,1992/01/27,3.91,,10.00,,
G-870,,1982/01/17,M,M,D-161,rs,1982,Removed,,1984/01/09,5.75,,2.00,,
I-816,,1982/01/18,F,M,G-113,dm,1982,DEAD,1983/01/01,,5.66,1.00,,,
I-827,,1982/01/19,F,F,K-130,dm,1982,DEAD,1982/04/01,,15.75,0.25,,,
G-924,,1982/01/21,F,I,G-063,dm,1982,DEAD,1991/05/15,,5.83,9.33,,,
G-815,,1982/01/21,M,J,G-349,rs,1982,Removed,,1984/02/22,13.83,,2.08,,
E-687,,1982/01/23,F,I,E-078,nDD,1982,Dead,1999/03/09,,3.75,17.16,,,E-078
I-810,,1982/01/23,F,I,C-810,dm,1982,DEAD,1982/06/29,,6.75,0.41,,,
E-693,,1982/01/25,F,I,F-791,BB,1982,Dead,2001/01/30,,9.66,19.00,,,
G-926,,1982/01/25,M,M,F-858,rs,1982,Removed,,1984/01/11,8.83,,2.00,,
G-861,,1982/01/25,F,M,K-327,rs,1982,Removed,,1984/01/09,15.91,,2.00,,
G-826,,1982/01/25,F,J,B-367,rs,1982,Removed,,1984/02/29,11.91,,2.08,,
E-681,,1982/01/26,M,I,F-790,F,1982,Dead,2002/04/07,,9.83,20.25,,,
G-812,,1982/01/26,M,J,K-864,rs,1982,Removed,,1984/02/21,14.91,,2.08,,
E-686,,1982/01/28,F,II,D-239,BB,1982,Dead,2003/05/15,,5.66,21.33,,,D-239
G-845,,1982/01/28,F,O,G-097,rs**,1982,Removed,,1984/04/01,5.75,,2.25,,
E-707,,1982/01/29,M,L,F-705,Q,1982,Removed,,1994/02/09,10.91,,12.08,,
G-830,,1982/01/29,M,J,G-078,rs,1982,Removed,,1984/02/23,5.83,,2.08,,
G-791,,1982/01/29,M,I,F-716,dn**,1982,DEAD,1986/03/25,,10.83,4.16,,,
G-817,,1982/01/30,F,J,G-124,rs**,1982,Removed,,1984/03/05,13.83,,2.16,,
G-850,,1982/01/30,F,O,F-922,rg,1982,Removed,,1984/05/01,7.75,,2.33,,
E-715,,1982/01/31,M,F,G-986,F,1982,Removed,,2002/01/17,17.83,,20.00,,
E-719,,1982/01/31,M,O,K-094,F,1982,Dead,2001/10/23,,15.75,19.75,,,
E-696,,1982/01/31,F,F,G-047,nII,1982,Dead,2000/01/27,,5.83,18.00,,,
G-800,,1982/01/31,F,J,G-081,rs,1982,Removed,,1984/03/05,5.83,,2.16,,
G-922,,1982/02/01,F,L,F-511,rs,1982,Removed,,1992/02/26,13.08,,10.00,,
G-808,,1982/02/01,M,J,G-086,du**,1982,DEAD,1983/07/05,,5.83,1.41,,,
G-793,,1982/02/01,F,F,F-747,rs,1982,Removed,,1985/01/15,10.75,,2.91,,
G-790,,1982/02/01,M,I,F-815,d**,1982,DEAD,1985/01/18,,9.00,2.91,,,
G-759,,1982/02/02,F,I,D-283,rs,1982,Removed,,1994/01/19,5.00,,11.91,,
G-798,,1982/02/02,F,F,G-023,rs,1982,Removed,,1985/01/15,6.83,,2.91,,
G-820,,1982/02/02,F,J,G-217,rs**,1982,Removed,,1984/03/19,4.00,,2.08,,
G-932,,1982/02/03,F,M,G-187,rs**,1982,Removed,,1984/01/09,4.58,,1.91,,
G-758,,1982/02/03,F,I,F-875,rs,1982,Removed,,1992/01/27,7.91,,9.91,,
G-871,,1982/02/03,M,O,G-205,rg,1982,Removed,,1984/05/01,4.91,,2.25,,
G-851,,1982/02/03,M,F,F-860,dm,1982,DEAD,1983/10/24,,7.91,1.66,,,
I-820,,1982/02/03,F,O,G-192,dm,1982,DEAD,1982/02/23,,4.58,0.00,,,
G-795,,1982/02/03,M,F,G-112,rs,1982,Removed,,1985/01/15,5.75,,2.91,,
E-683,,1982/02/04,F,I,E-119,R,1982,Dead,2000/05/22,,3.75,18.25,,,E-119
I-825,,1982/02/04,F,J,G-425,dm,1982,DEAD,1982/02/16,,16.91,0.00,,,
G-841,,1982/02/04,F,J,F-912,rs,1982,Removed,,1984/03/19,7.91,,2.08,,
G-877,,1982/02/06,F,L,G-181,rs,1982,Removed,,1992/03/10,4.75,,10.08,,
G-918,,1982/02/07,M,F,G-285,rs,1982,Removed,,1992/03/04,3.91,,10.08,,
E-714,,1982/02/08,M,F,F-800,GG,1982,Dead,1998/09/01,,9.91,16.58,,,
E-705,,1982/02/08,M,L,G-312,nT,1982,Removed,,1992/01/27,4.08,,9.91,D-100,
I-817,,1982/02/08,M,J,G-153,dm,1982,DEAD,1984/03/16,,4.75,2.08,,,
G-836,,1982/02/08,M,J,F-842,rs,1982,Removed,,1984/03/12,9.00,,2.08,,
